"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
9083,"2017","SHIH TZU / BICHON MIX","Shih tzu","2",2,"M","true","Queens","11427"
9084,"2017","Siberian Husky","Husky","12",12,"F","true","Queens","11430"
9086,"2017","COCKAPOO MIX","Other","3",3,"M","true","Queens","11414"
9087,"2017","Shih Tzu","Shih tzu","13",13,"M","false","Queens","11420"
9090,"2017","PIT BULL / ROTTWEILER MIX","Pit bull","3",3,"F","true","Queens","11415"
9091,"2017","Maltese","Maltese","5",5,"M","true","Queens","11103"
9092,"2017","MIXED BREED","Other","4",4,"M","true","Queens","11106"
9100,"2017","Wheaton Terrier","Terrier","6",6,"M","true","Queens","11377"
9103,"2017","Yorkshire Terrier","Terrier","4MTHS",0,"M","false","Queens","11355"
9104,"2017","Rottweiler","Other","1",1,"M","false","Queens","11693"
9107,"2017","Cocker Spaniel","Spaniel","4",4,"M","true","Queens","11102"
9111,"2017","GERMAN SHEPHERD MIX","German shepherd","6",6,"M","true","Queens","11357"
9112,"2017","POMERANIAN / POODLE MIX","Poodle","2",2,"M","false","Queens","11372"
9113,"2017","PIT BULL / LABRADOR MIX","Retriever","7",7,"F","true","Queens","11435"
9114,"2017","TERRIER MIX","Terrier","1",1,"M","true","Queens","11367"
9115,"2017","POODLE / FRENCH BULL DOG","Poodle","8",8,"M","true","Queens","11374"
9119,"2017","American Pit Bull Terrier/Pit Bull","Pit bull","10 MTHS",0,"M","false","Queens","11435"
9120,"2017","COATED XOLO","Other","2",2,"F","true","Queens","11369"
9121,"2017","LABRADOR / PIT BULL MIX","Retriever","8",8,"F","true","Queens","11427"
9122,"2017","Pit Bull","Pit bull","1",1,"M","false","Queens","11434"
9123,"2017","Pit Bull","Pit bull","7 MTHS",0,"M","false","Queens","11377"
9124,"2017","Rottweiler","Other","3",3,"M","false","Queens","11385"
9128,"2017","Shiba Inu","Shiba","1",1,"F","false","Queens","11355"
9130,"2017","German Shepherd","German shepherd","5",5,"M","false","Queens","11421"
9131,"2017","Shih Tzu","Shih tzu","3",3,"F","false","Queens","11369"
9132,"2017","POMERANIAN MIX","Other","6",6,"M","true","Queens","11104"
9133,"2017","Cane Corso","Other","2",2,"M","true","Queens","11379"
9135,"2017","Jack Russ","Terrier","3Y",3,"M","false","Queens","11358"
9136,"2017","AMERICAN STAFFORDSHIRE TERRIER / PIT BULL","Pit bull","2",2,"F","true","Queens","11358"
9138,"2017","COCKER SPANIEL / BEAGLE MIX","Spaniel","2",2,"M","false","Queens","11354"
9139,"2017","Labrador Retriever","Retriever","2",2,"U","false","Queens","11375"
9141,"2017","LHASA APSO MIX","Other","15",15,"F","true","Queens","11372"
9142,"2017","CHIHUAHUA MIX","Chihuahua","5",5,"M","false","Queens","11372"
9144,"2017","Yorkshire Terrier","Terrier","2",2,"M","true","Queens","11355"
9146,"2017","AMERICAN STAFFORDSHIRE / PIT BULL MIX","Pit bull","2",2,"M","false","Queens","11418"
9147,"2017","AMERICAN STAFFORDSHIRE / PIT BULL","Pit bull","2",2,"M","false","Queens","11418"
9148,"2017","PIT BULL /GERMAN SHEPHERD MIX","German shepherd","1",1,"F","false","Queens","11434"
9149,"2017","Pomeranian","Other","6",6,"F","true","Queens","11372"
9152,"2017","Shih Tzu","Shih tzu","8",8,"M","false","Queens","11417"
9153,"2017","Puggle","Other","11",11,"M","true","Queens","11358"
9156,"2017","MIXED BREED (MINI AUSSIE MIX)","Other","3",3,"F","true","Queens","11365"
9158,"2017","American Pit Bull Mix / Pit Bull Mix","Pit bull","1",1,"F","false","Queens","11373"
9159,"2017","German Shepherd","German shepherd","7 MTHS",0,"F","true","Queens","11375"
9160,"2017","German Pinscher","Other","4",4,"M","true","Queens","11370"
9161,"2017","Pit Bull","Pit bull","4",4,"M","false","Queens","11357"
9162,"2017","AMERICAN STAFFORD MIX","Other","2",2,"F","true","Queens","11105"
9165,"2017","BEAGLE MIX","Beagle","10 MTHS",0,"M","false","Queens","11106"
9166,"2017","Pit Bull","Pit bull","7 MTHS",0,"F","false","Queens","11429"
9167,"2017","MIXED BREED","Other","3",3,"F","true","Queens","11697"
9169,"2017","Pit Bull","Pit bull","4",4,"M","false","Queens","11691"
9172,"2017","Pit Bull","Pit bull","3",3,"M","false","Queens","11385"
9173,"2017","Bull Dog, English","Bull dog","3",3,"M","false","Queens","11354"
9174,"2017","JINDO / JACK RUSS MIX","Terrier","3",3,"F","true","Queens","11373"
9175,"2017","POMERANIAN / CHIHUAHUA MIX","Chihuahua","6M",0,"M","true","Queens","11433"
9176,"2017","Jack Russ","Terrier","4",4,"M","false","Queens","11368"
9178,"2017","Poodle, Toy","Poodle","3",3,"F","false","Queens","11368"
9181,"2017","PIT BULL MIX","Pit bull","3",3,"M","true","Queens","11103"
9182,"2017","SIBERIAN HUSKY MIX","Husky","4",4,"F","false","Queens","11354"
9183,"2017","American Pit Bull Mix / Pit Bull Mix","Pit bull","1",1,"M","false","Queens","11368"
9184,"2017","Siberian Husky","Husky","4",4,"F","true","Queens","11365"
9185,"2017","Shih Tzu","Shih tzu","8",8,"M","true","Queens","11357"
9186,"2017","American Eskimo","Other","6",6,"M","false","Queens","11420"
9189,"2017","West High White Terrier","Terrier","2",2,"M","true","Queens","11435"
9190,"2017","Maltese","Maltese","3",3,"F","false","Queens","11356"
9191,"2017","COCKER SPANIEL / POODLE MIX","Poodle","4",4,"M","true","Queens","11377"
9194,"2017","Bull Dog, English","Bull dog","4",4,"M","false","Queens","11369"
9196,"2017","Pit Bull","Pit bull","1",1,"M","true","Queens","11691"
9197,"2017","PIT BULL / LABRADOR MIX","Retriever","11",11,"M","true","Queens","11418"
9201,"2017","American Pit Bull Mix / Pit Bull Mix","Pit bull","5",5,"F","true","Queens","11417"
9203,"2017","DACHSHUND","Other","5",5,"M","true","Queens","11420"
9205,"2017","Pomeranian","Other","5",5,"M","false","Queens","11368"
9206,"2017","SHIH TZU MIX","Shih tzu","6",6,"M","true","Queens","11358"
9207,"2017","Doberman Pinscher","Other","4",4,"M","false","Queens","11414"
9208,"2017","Shih Tzu","Shih tzu","15",15,"F","true","Queens","11373"
9209,"2017","Siberian Husky","Husky","3",3,"M","false","Queens","11004"
9211,"2017","SHEPHERD / GREYHOUND MIX","Other","6",6,"M","true","Queens","11423"
9212,"2017","Boxer","Other","5",5,"M","true","Queens","11106"
